date,source,medium,delivery_available,device_type,promo_activated,filter_used,pageviews,visits,productClick,addToCart,checkout,transactions,revenue,ad spend
2020-09-23,google,organic,no data,mobile,yes,no,6826,713,4930,986,1879.04,60,"₱325,891","₱415,255"
2020-09-23,tiktok,cpa,no data,mobile,yes,no,1327,149,800,160,368.64,18,"₱97,356","₱171,267"
2020-09-23,google,organic,no data,mobile,no,no,11193,2058,4570,912,1799.68,89,"₱400,195","₱100,024"
2020-09-23,google,cpc,no data,mobile,no,no,1806,444,700,140,209.92,11,"₱50,687","₱879,209"
2020-09-23,instagram,cpc,no data,mobile,no,no,681,153,370,74,79.36,6,"₱33,550","₱372,718"
2020-09-23,facebook,cpc,no data,mobile,yes,no,7204,948,4460,890,1342.72,46,"₱277,029","₱853,110"
2020-09-23,facebook,organic,no data,mobile,yes,no,4747,453,2850,570,1150.72,46,"₱309,804","₱644,023"
2020-09-23,google,organic,no data,PC,yes,no,2851,484,5310,1064,1017.6,79,"₱504,995","₱311,494"
2020-09-23,google,organic,no data,PC,no,no,3263,834,4010,802,711.68,61,"₱354,638","₱570,126"
2020-09-23,facebook,organic,no data,PC,no,no,2409,715,2920,580,385.28,39,"₱216,134","₱417,946"
2020-09-23,facebook,cpc,no data,PC,no,no,1000,349,1020,200,154.88,13,"₱68,081","₱656,538"
2020-09-23,facebook,cpc,no data,PC,yes,no,3303,707,6250,1248,855.04,57,"₱441,111","₱140,339"
2020-09-23,instagram,cpc,no data,PC,no,no,179,56,490,98,28.16,4,"₱21,434","₱833,607"
2020-09-23,tiktok,cpa,no data,PC,yes,no,960,141,1580,310,398.08,42,"₱259,851","₱248,970"
2020-09-23,google,organic,yes,PC,no,no,557,69,1900,380,358.4,55,"₱418,169","₱633,943"
2020-09-23,facebook,cpc,yes,PC,yes,no,1318,101,3280,656,805.12,58,"₱567,625","₱922,493"
2020-05-07,(direct),(none),yes,mobile,no,no,245,9,560,112,167.68,4,"₱26,538","₱470,848"
2020-05-07,facebook,organic,no data,mobile,no,no,4208,1416,5450,1090,866.56,120,"₱672,594","₱404,114"
2020-05-07,google,organic,no data,mobile,no,no,6190,2014,7360,1472,1294.08,161,"₱851,915","₱825,654"
2020-05-07,facebook,cpc,no data,mobile,no,no,5268,2002,7870,1574,1086.72,135,"₱883,915","₱419,133"
2020-05-07,facebook,cpc,no data,PC,no,no,5355,2021,9560,1908,960,126,"₱868,334","₱769,055"
2020-05-07,tiktok,cpa,no data,mobile,no,no,3768,1288,580,116,93.44,13,"₱74,952","₱666,485"
2020-05-07,tiktok,cpa,no data,mobile,yes,no,1700,262,2680,536,620.8,75,"₱460,357","₱705,866"
2020-05-07,google,organic,no data,PC,no,no,4514,1362,6370,1274,785.92,110,"₱628,071","₱952,503"
2020-05-07,google,cpc,no data,mobile,no,no,3698,1400,5220,1042,771.84,78,"₱436,234","₱278,191"
2020-05-07,(direct),(none),no data,mobile,no,no,1732,748,1500,300,271.36,33,"₱201,798","₱172,968"
2020-05-07,facebook,cpc,no data,PC,yes,no,4728,662,11520,2304,1488.64,205,"₱1,367,999","₱943,203"
2020-05-07,facebook,cpc,no data,mobile,yes,no,3462,518,8520,1704,1390.08,146,"₱869,135","₱231,388"
2020-05-07,google,organic,yes,PC,no,no,507,34,1010,200,154.88,23,"₱142,917","₱358,226"
2020-05-07,tiktok,cpa,no data,PC,no,no,2193,746,450,90,66.56,9,"₱41,449","₱526,308"
2020-05-07,facebook,organic,no data,PC,no,no,3629,1267,5360,1072,624.64,84,"₱454,129","₱827,742"
2020-05-07,google,cpc,no data,mobile,yes,no,2751,364,6740,1348,1084.16,121,"₱734,370","₱850,611"
2020-05-07,google,cpc,no data,PC,yes,no,2383,326,5280,1056,702.72,96,"₱571,369","₱659,453"
2020-05-07,facebook,organic,no data,mobile,no,yes,151,14,330,66,46.08,3,"₱11,326","₱530,830"
2020-05-07,google,organic,no data,PC,yes,no,4302,492,9040,1806,1240.32,182,"₱1,120,697","₱825,475"
2020-05-07,tiktok,cpa,no data,PC,yes,no,2021,268,3130,626,601.6,80,"₱478,642","₱837,363"
2020-05-07,google,cpc,no data,PC,no,no,2624,912,4710,942,518.4,66,"₱458,232","₱560,883"
2020-04-21,facebook,cpc,no data,mobile,no,no,4189,1690,5530,1106,775.68,90,"₱586,021","₱417,480"
2020-04-21,google,organic,no data,mobile,no,no,6393,2105,6340,1268,1143.04,123,"₱588,995","₱556,579"
2020-04-21,instagram,cpc,no data,mobile,yes,no,241,52,530,106,78.08,7,"₱51,652","₱725,543"
2020-04-21,(direct),(none),no data,mobile,no,no,2264,983,1650,326,207.36,33,"₱194,100","₱813,331"
2020-04-21,tiktok,cpa,no data,mobile,no,no,1584,676,650,130,98.56,11,"₱61,264","₱739,967"
2020-04-21,(direct),(none),no data,PC,no,no,1563,661,1690,338,224,37,"₱183,965","₱835,729"
2020-04-21,facebook,organic,no data,mobile,yes,yes,178,16,350,70,117.76,7,"₱48,219","₱888,153"
2020-04-21,facebook,cpc,no data,mobile,yes,no,4408,582,9440,1888,1738.24,187,"₱1,025,893","₱720,965"
2020-04-21,facebook,organic,no data,PC,no,no,3152,1062,4190,838,545.28,57,"₱290,917","₱330,494"
2020-04-21,facebook,organic,no data,mobile,yes,no,2872,389,6160,1230,1199.36,107,"₱658,790","₱670,226"
2020-04-21,google,cpc,no data,PC,no,no,2144,852,2940,588,326.4,46,"₱260,578","₱247,378"
2020-04-21,facebook,organic,no data,mobile,no,no,3732,1361,3800,760,716.8,82,"₱402,525","₱248,002"
2020-04-21,facebook,cpc,no data,PC,no,no,4096,1579,5760,1154,627.2,87,"₱527,963","₱401,000"
2020-04-21,facebook,cpc,no data,PC,yes,no,4556,535,11500,2300,1363.2,179,"₱1,163,485","₱984,859"
2020-04-21,google,cpc,no data,PC,yes,no,2721,318,6070,1214,789.76,108,"₱623,073","₱912,146"
2020-04-21,google,organic,no data,PC,no,no,4466,1337,6230,1246,742.4,94,"₱516,648","₱255,594"
2020-04-21,tiktok,cpa,no data,PC,no,no,774,326,380,76,44.8,6,"₱30,524","₱863,738"
2020-04-21,instagram,cpc,no data,PC,yes,no,160,30,500,100,51.2,5,"₱32,538","₱831,166"
2020-04-21,google,organic,no data,PC,yes,no,4673,471,9350,1870,1465.6,203,"₱1,136,452","₱663,755"
2020-04-21,instagram,cpc,no data,mobile,no,no,337,129,690,138,108.8,7,"₱39,482","₱758,116"
2020-04-21,(direct),(none),no data,PC,yes,no,2300,275,3710,742,471.04,77,"₱437,151","₱423,707"
2020-05-29,facebook,organic,no data,mobile,no,no,6927,2208,9320,1864,1553.92,214,"₱1,144,983","₱643,184"
2020-05-29,google,organic,no data,PC,no,no,6245,1882,8970,1794,1166.08,171,"₱977,796","₱221,613"
2020-05-29,google,cpc,no data,PC,no,no,1537,560,2370,474,335.36,47,"₱266,573","₱537,721"
2020-05-29,google,cpc,no data,mobile,yes,no,4037,616,9580,1916,1601.28,184,"₱1,101,705","₱264,630"
2020-05-29,tiktok,cpa,no data,mobile,no,no,4450,1599,520,104,110.08,12,"₱56,097","₱921,781"
2020-05-29,google,cpc,no data,mobile,no,no,5371,2086,8080,1616,1135.36,144,"₱865,038","₱173,131"
2020-05-29,(direct),(none),no data,PC,no,no,1738,590,2650,526,445.44,74,"₱496,385","₱771,384"
2020-05-29,tiktok,cpa,no data,PC,no,no,2485,826,760,152,110.08,14,"₱73,391","₱910,077"
2020-05-29,google,organic,no data,mobile,yes,no,6715,775,13050,2608,2795.52,302,"₱1,839,955","₱765,299"
2020-05-29,facebook,cpc,no data,mobile,no,no,6729,2324,10470,2090,1460.48,204,"₱1,312,498","₱544,541"
2020-05-29,(direct),(none),no data,mobile,no,no,2857,1101,3190,638,586.24,73,"₱453,887","₱605,599"
2020-05-29,facebook,cpc,no data,PC,yes,no,8801,1631,20370,4076,2819.84,354,"₱2,334,632","₱991,792"
2020-05-29,facebook,organic,yes,mobile,yes,no,1044,67,1880,376,486.4,51,"₱318,968","₱415,533"
2020-05-29,facebook,cpc,no data,mobile,yes,no,6167,892,14540,2910,2630.4,303,"₱1,973,123","₱222,687"
2020-05-29,tiktok,cpa,no data,mobile,yes,no,2680,400,4480,898,1054.72,129,"₱788,700","₱560,494"
2020-05-29,(direct),(none),no data,mobile,yes,no,2193,260,4340,868,1000.96,107,"₱626,706","₱298,421"
2020-05-29,facebook,organic,no data,PC,no,no,5266,1685,9430,1886,1246.72,164,"₱1,016,202","₱854,945"
2020-05-29,google,organic,no data,mobile,no,no,9746,2967,12240,2448,2065.92,266,"₱1,436,834","₱311,750"
2020-05-29,facebook,cpc,no data,PC,no,no,2717,1054,4290,854,535.04,70,"₱440,895","₱357,308"
2020-05-29,facebook,organic,no data,mobile,yes,no,4023,496,8350,1668,1834.24,207,"₱1,238,026","₱109,558"
2020-05-29,instagram,cpc,no data,mobile,no,no,639,257,710,142,119.04,16,"₱82,782","₱273,518"
2020-05-29,facebook,cpc,no data,PC,yes,yes,776,72,2020,404,200.96,24,"₱189,402","₱923,449"
2020-05-29,google,organic,no data,PC,yes,no,5801,609,11620,2322,1881.6,264,"₱1,593,191","₱141,043"
2020-05-29,google,cpc,no data,PC,yes,no,4492,845,9980,1996,1208.32,187,"₱1,122,811","₱342,383"
2020-05-29,facebook,organic,no data,PC,yes,no,4383,494,10450,2088,1546.24,196,"₱1,296,543","₱221,860"
2020-05-29,tiktok,cpa,no data,PC,yes,no,2801,399,4720,942,764.16,117,"₱794,073","₱654,409"
2020-02-29,google,organic,no data,mobile,no,no,11207,3808,15280,3052,2478.08,349,"₱1,864,494","₱813,519"
2020-02-29,google,organic,no data,mobile,yes,no,4444,614,8840,1768,1917.44,224,"₱1,335,998","₱151,190"
2020-02-29,(direct),(none),no data,mobile,yes,no,2668,392,5190,1036,907.52,114,"₱678,479","₱380,844"
2020-02-29,tiktok,cpa,no data,mobile,no,no,2976,1272,700,140,148.48,12,"₱56,186","₱900,205"
2020-02-29,google,organic,no data,PC,no,no,5296,1484,9240,1848,1248,203,"₱1,226,078","₱701,181"
2020-02-29,facebook,organic,no data,mobile,no,no,7492,2485,11430,2286,1783.04,245,"₱1,456,232","₱123,669"
2020-02-29,tiktok,cpa,no data,PC,no,no,673,287,410,82,58.88,8,"₱54,067","₱707,555"
2020-02-29,google,cpc,no data,mobile,no,no,6010,2319,9630,1924,1428.48,170,"₱1,080,271","₱292,004"
2020-02-29,(direct),(none),no data,PC,no,no,1757,545,2430,482,364.8,76,"₱461,311","₱256,693"
2020-02-29,instagram,cpc,no data,mobile,no,no,567,246,700,140,94.72,13,"₱54,420","₱812,085"
2020-02-29,(direct),(none),no data,mobile,no,no,3305,1325,3450,690,550.4,92,"₱484,284","₱162,284"
2020-02-29,facebook,cpc,no data,mobile,yes,no,4453,566,10430,2086,1957.12,243,"₱1,495,504","₱918,797"
2020-02-29,facebook,cpc,no data,mobile,no,no,7873,2825,13230,2644,1884.16,258,"₱1,663,772","₱833,681"
2020-02-29,google,cpc,no data,PC,no,no,2687,825,5070,1014,645.12,106,"₱762,463","₱322,327"
2020-02-29,facebook,cpc,no data,PC,yes,yes,552,32,1100,220,149.76,19,"₱140,223","₱181,958"
2020-02-29,google,organic,no data,PC,yes,no,3527,394,7270,1456,1134.08,189,"₱1,110,874","₱815,848"
2020-02-29,google,cpc,no data,PC,yes,no,1894,215,4260,852,624.64,102,"₱659,286","₱579,955"
2020-02-29,facebook,cpc,no data,PC,no,no,3921,1356,7600,1520,789.76,123,"₱841,817","₱459,325"
2020-02-29,facebook,cpc,no data,PC,yes,no,3779,414,9270,1852,1268.48,199,"₱1,302,416","₱341,676"
2020-09-03,facebook,organic,no data,mobile,yes,no,4221,411,2620,520,839.68,37,"₱237,826","₱958,362"
2020-09-03,(direct),(none),no data,mobile,no,no,3781,954,1520,302,354.56,31,"₱149,345","₱666,140"
2020-09-03,facebook,organic,no data,mobile,no,no,7715,1243,4240,846,1070.08,67,"₱326,909","₱493,403"
2020-09-03,google,organic,no data,mobile,no,no,12091,1950,4850,968,1694.72,84,"₱388,711","₱537,916"
2020-09-03,tiktok,cpa,no data,mobile,no,no,2258,665,330,66,107.52,1,"₱5,942","₱898,200"
2020-09-03,google,organic,no data,mobile,yes,no,7010,689,4130,824,1359.36,46,"₱267,786","₱603,795"
2020-09-03,facebook,cpc,no data,mobile,yes,no,9009,1050,5060,1012,1509.12,63,"₱410,999","₱668,908"
2020-09-03,google,organic,yes,mobile,no,no,4464,185,3900,780,1155.84,125,"₱715,024","₱434,487"
2020-09-03,tiktok,cpa,no data,mobile,yes,no,1700,217,1030,206,375.04,17,"₱100,641","₱421,113"
2020-09-03,(direct),(none),no data,PC,no,no,1581,381,1750,302,279.04,37,"₱221,233","₱210,007"
2020-09-03,instagram,cpc,no data,mobile,yes,no,555,44,420,84,102.4,4,"₱27,914","₱223,811"
2020-09-03,google,cpc,no data,mobile,no,no,2510,588,1120,224,234.24,12,"₱43,036","₱135,455"
2020-09-03,tiktok,cpa,no data,PC,yes,no,2055,211,2500,500,472.32,50,"₱328,127","₱482,089"
2020-09-03,google,organic,no data,PC,no,no,4263,866,4180,832,646.4,60,"₱321,262","₱143,839"
2020-09-03,google,cpc,no data,PC,yes,no,1974,250,2640,528,436.48,33,"₱250,602","₱926,953"
2020-09-03,google,organic,no data,PC,yes,no,4204,456,5600,1118,807.68,59,"₱485,660","₱288,029"
2020-09-03,google,cpc,no data,PC,no,no,738,175,1050,210,125.44,16,"₱78,474","₱597,216"
2020-01-16,google,organic,no data,mobile,yes,no,2059,290,4450,890,911.36,92,"₱563,618","₱974,139"
2020-01-16,(direct),(none),no data,mobile,yes,no,1127,149,2690,538,417.28,46,"₱304,600","₱868,228"
2020-01-16,facebook,cpc,no data,mobile,no,no,4202,1645,6370,1274,893.44,99,"₱611,246","₱272,804"
2020-01-16,(direct),(none),no data,mobile,no,no,2997,1387,2260,452,316.16,35,"₱184,598","₱231,905"
2020-01-16,google,cpc,no data,mobile,no,no,3585,1382,5880,1176,823.04,97,"₱514,107","₱137,878"
2020-01-16,google,organic,no data,PC,no,no,4153,1372,6800,1358,769.28,123,"₱931,385","₱556,246"
2020-01-16,instagram,cpc,no data,mobile,no,no,397,177,650,130,104.96,13,"₱66,621","₱708,764"
2020-01-16,google,organic,no data,mobile,no,no,5696,2090,6270,1254,1123.84,144,"₱750,741","₱627,361"
2020-01-16,google,cpc,no data,mobile,yes,no,1217,198,2470,494,482.56,60,"₱376,125","₱313,594"
2020-01-16,facebook,organic,no data,mobile,no,no,3587,1291,4500,898,770.56,95,"₱525,396","₱287,856"
2020-01-16,facebook,organic,no data,mobile,yes,no,1131,196,2450,490,574.72,55,"₱343,961","₱586,095"
2020-01-16,facebook,cpc,no data,PC,no,no,3663,1452,6530,1298,646.4,106,"₱920,402","₱649,842"
2020-01-16,(direct),(none),no data,PC,no,no,2372,975,2600,520,314.88,53,"₱413,018","₱565,355"
2020-01-16,google,cpc,no data,PC,no,no,2091,741,4050,810,398.08,67,"₱634,098","₱854,429"
2020-01-16,google,organic,no data,PC,yes,no,2244,269,4970,994,683.52,104,"₱757,828","₱241,144"
2020-01-16,facebook,organic,yes,PC,no,no,136,14,300,60,64,13,"₱86,130","₱930,601"
2020-01-16,facebook,organic,no data,PC,no,no,2927,1047,4810,960,524.8,79,"₱484,738","₱609,375"
2020-01-16,(direct),(none),no data,PC,yes,no,1355,197,2220,444,271.36,33,"₱227,012","₱240,877"
2020-03-01,facebook,cpc,no data,mobile,yes,yes,191,21,390,78,67.84,9,"₱46,453","₱804,716"
2020-03-01,facebook,cpc,no data,PC,no,no,3178,1150,5220,1044,578.56,100,"₱724,283","₱988,266"
2020-03-01,google,organic,no data,mobile,no,no,9131,3201,11940,2388,1902.08,269,"₱1,477,170","₱817,517"
2020-03-01,facebook,organic,no data,mobile,no,no,5932,2131,8110,1622,1296.64,171,"₱1,020,362","₱655,171"
2020-03-01,google,cpc,no data,PC,no,no,2573,796,4890,978,588.8,88,"₱515,372","₱687,467"
2020-03-01,tiktok,cpa,no data,PC,no,no,639,245,660,132,83.2,15,"₱79,133","₱390,022"
2020-03-01,tiktok,cpa,no data,mobile,yes,no,1670,234,2690,536,682.24,75,"₱474,730","₱699,793"
2020-03-01,(direct),(none),yes,mobile,no,no,198,16,440,88,85.76,15,"₱95,684","₱398,421"
2020-03-01,facebook,organic,no data,mobile,yes,no,2730,402,6100,1220,1155.84,141,"₱837,172","₱414,263"
2020-03-01,google,cpc,no data,mobile,yes,no,2079,290,4530,906,867.84,97,"₱635,443","₱113,095"
2020-03-01,google,organic,no data,mobile,yes,no,3618,513,7290,1460,1463.04,169,"₱963,491","₱201,440"
2020-03-01,(direct),(none),no data,PC,no,no,1387,449,1730,346,279.04,57,"₱310,052","₱348,644"
2020-03-01,facebook,cpc,no data,PC,yes,yes,394,27,950,190,128,19,"₱100,134","₱883,160"
2020-03-01,facebook,cpc,no data,PC,yes,no,3219,358,7710,1548,1008.64,160,"₱1,021,802","₱813,853"
2020-03-01,google,organic,no data,PC,no,no,3917,1253,5800,1160,739.84,126,"₱646,779","₱209,195"
2020-03-01,facebook,organic,no data,PC,no,no,2830,951,4710,942,556.8,97,"₱541,240","₱884,884"
2020-03-01,tiktok,cpa,no data,PC,yes,no,1758,224,2780,556,537.6,92,"₱545,553","₱604,040"
2020-03-01,google,organic,no data,PC,yes,no,2562,284,5250,1050,712.96,126,"₱767,198","₱798,270"
2020-03-01,facebook,organic,no data,PC,yes,no,1649,190,3610,722,531.2,76,"₱440,173","₱986,130"
2020-03-01,(direct),(none),no data,PC,yes,no,1230,243,2070,414,322.56,59,"₱359,737","₱822,643"
2020-03-01,facebook,cpc,no data,PC,no,yes,351,43,460,92,47.36,7,"₱74,773","₱766,985"
2020-05-22,tiktok,cpa,no data,mobile,yes,no,2633,315,4340,868,954.88,123,"₱728,575","₱914,552"
2020-05-22,google,cpc,yes,PC,no,no,97,12,290,58,58.88,6,"₱36,429","₱844,733"
2020-05-22,facebook,organic,no data,mobile,no,no,6131,2097,6820,1364,1210.88,152,"₱776,172","₱366,422"
2020-05-22,google,cpc,no data,mobile,no,no,5615,2350,6540,1310,921.6,112,"₱656,940","₱501,071"
2020-05-22,google,organic,no data,mobile,no,no,9234,2900,10580,2116,1749.76,218,"₱1,128,248","₱256,369"
2020-05-22,facebook,cpc,no data,mobile,yes,no,6617,987,15010,2998,2698.24,303,"₱1,950,946","₱423,875"
2020-05-22,facebook,cpc,no data,mobile,no,no,6511,2348,9300,1858,1363.2,185,"₱1,083,582","₱210,658"
2020-05-22,promo,email,no data,mobile,no,no,1040,535,930,186,74.24,6,"₱46,215","₱210,592"
2020-05-22,facebook,organic,no data,PC,no,no,5257,1699,8400,1678,1026.56,140,"₱745,453","₱973,490"
2020-05-22,facebook,cpc,no data,PC,no,no,2877,1106,4050,810,559.36,83,"₱494,956","₱656,878"
2020-05-22,(direct),(none),no data,PC,no,no,1944,757,2200,436,354.56,50,"₱362,041","₱336,451"
2020-05-22,google,organic,no data,PC,no,no,7032,2039,10370,2078,1333.76,172,"₱996,008","₱617,561"
2020-05-22,tiktok,cpa,no data,PC,no,no,2382,837,610,122,115.2,18,"₱83,293","₱335,487"
2020-05-22,google,organic,no data,mobile,yes,no,6160,730,12200,2438,2465.28,298,"₱1,726,776","₱705,112"
2020-05-22,facebook,social,no data,mobile,yes,no,228,62,760,152,96,0,₱0,"₱558,251"
2020-05-22,facebook,cpc,no data,PC,yes,no,8672,1713,20910,4182,2664.96,339,"₱2,296,721","₱696,887"
2020-05-22,instagram,cpc,no data,mobile,no,no,529,198,1000,200,156.16,18,"₱74,472","₱883,781"
2020-05-22,google,cpc,no data,PC,no,no,1551,666,2230,446,313.6,34,"₱210,187","₱884,401"
2020-05-22,(direct),(none),no data,mobile,no,no,2896,1134,2700,536,454.4,70,"₱366,043","₱371,968"
2020-05-22,instagram,cpc,no data,PC,no,no,419,138,750,150,89.6,13,"₱61,206","₱563,777"
2020-05-22,google,organic,no data,PC,yes,no,6132,670,13540,2708,1986.56,277,"₱1,726,655","₱837,419"
2020-05-22,google,cpc,no data,PC,yes,no,4493,878,9820,1962,1159.68,166,"₱1,052,742","₱329,935"
2020-05-22,cityads,cpa,no data,PC,yes,no,744,101,930,186,229.12,27,"₱170,309","₱744,042"
2020-05-22,google,organic,no data,PC,no,yes,262,41,460,92,57.6,10,"₱52,221","₱161,651"
2020-05-22,tiktok,cpa,no data,mobile,no,no,3854,1417,660,132,128,14,"₱69,183","₱588,841"
2020-05-22,promo,email,no data,mobile,yes,no,1825,286,4090,818,720.64,77,"₱468,840","₱229,500"
2020-05-22,google,organic,no data,PC,yes,yes,791,50,1570,314,229.12,32,"₱184,087","₱859,540"
2020-05-22,(direct),(none),no data,PC,yes,no,2159,281,4340,866,762.88,92,"₱532,345","₱803,288"
2020-08-11,google,organic,no data,mobile,no,no,5776,2198,6010,1202,1989.12,80,"₱380,981","₱837,245"
2020-08-11,facebook,organic,yes,mobile,yes,no,1191,86,2440,486,1095.68,55,"₱368,100","₱804,525"
2020-08-11,facebook,organic,no data,mobile,no,no,5117,2217,4460,892,1460.48,67,"₱303,387","₱816,653"
2020-08-11,google,cpc,no data,mobile,no,no,3207,1459,3420,684,801.28,43,"₱198,086","₱337,897"
2020-08-11,tiktok,cpa,no data,mobile,no,no,1746,752,370,74,122.88,2,"₱20,342","₱459,274"
2020-08-11,google,cpc,no data,mobile,yes,no,1403,325,3460,692,1222.4,29,"₱130,526","₱233,797"
2020-08-11,facebook,cpc,no data,mobile,yes,no,1964,466,4460,892,1794.56,32,"₱199,694","₱214,781"
2020-08-11,facebook,organic,yes,mobile,no,no,1229,106,2520,504,915.2,61,"₱348,163","₱452,524"
2020-08-11,facebook,cpc,yes,mobile,yes,no,1605,111,3400,680,1507.84,77,"₱603,543","₱709,396"
2020-08-11,facebook,cpc,no data,mobile,no,no,3477,1588,3920,784,832,39,"₱201,260","₱695,633"
2020-08-11,facebook,organic,no data,mobile,yes,no,1601,316,3360,670,1450.24,34,"₱206,100","₱833,921"
2020-08-11,(direct),(none),no data,mobile,yes,no,675,131,1480,296,583.68,20,"₱123,561","₱267,372"
2020-08-11,tiktok,cpa,no data,mobile,yes,no,942,200,1580,316,776.96,34,"₱234,362","₱275,631"
2020-08-11,google,organic,no data,mobile,yes,no,1900,410,3540,708,1538.56,57,"₱321,030","₱650,887"
2020-08-11,facebook,organic,yes,PC,yes,no,603,41,1350,270,413.44,28,"₱235,807","₱844,141"
2020-08-11,tiktok,cpa,no data,PC,yes,no,1110,187,1940,388,418.56,42,"₱279,154","₱451,611"
2020-08-11,google,organic,no data,PC,yes,no,1966,319,4960,992,912.64,72,"₱436,466","₱490,264"
2020-08-11,google,organic,yes,PC,no,no,761,58,1940,388,325.12,49,"₱347,241","₱601,380"
2020-08-11,facebook,cpc,yes,PC,yes,no,1632,108,4070,814,935.68,61,"₱545,121","₱915,721"
2020-08-11,facebook,cpc,no data,PC,yes,no,3305,912,8560,1706,1228.8,79,"₱645,139","₱268,699"
2020-08-11,instagram,cpc,no data,PC,no,no,186,66,400,80,40.96,5,"₱22,388","₱209,647"
2020-08-11,facebook,organic,no data,PC,no,no,2883,1230,4080,814,680.96,54,"₱336,099","₱836,169"
2020-08-11,(direct),(none),no data,PC,no,no,1017,399,1860,368,332.8,34,"₱196,725","₱522,839"
2020-08-11,google,cpc,no data,PC,no,no,274,115,440,88,65.28,5,"₱26,495","₱958,418"
2020-08-11,google,organic,no data,PC,no,no,2581,828,3960,790,773.12,72,"₱406,780","₱332,458"
2020-07-01,facebook,organic,no data,mobile,yes,no,2459,415,5880,1176,2268.16,85,"₱545,448","₱521,533"
2020-07-01,google,organic,no data,mobile,no,no,8632,3197,9000,1798,3069.44,170,"₱812,490","₱446,721"
2020-07-01,facebook,organic,yes,mobile,no,no,2110,195,4780,956,1351.68,153,"₱981,028","₱376,584"
2020-07-01,tiktok,cpa,yes,mobile,no,no,176,18,300,60,101.12,14,"₱68,830","₱221,521"
